mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.2691973686218265,0.8769903142937396,0.13799495697021485,0.12823333812719706,0.8,0.05,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.9490894039735099,0.9478476821192053,0.9486754966887417,0.944110950113848,0.94183398882219,0.9463115043434991,0.002848003247278784,7
6.281267213821411,1.347512683417873,0.07202553749084473,0.0419186292714136,0.8,0.05,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.9463990066225165,0.9482615894039735,0.9472268211920529,0.944110950113848,0.9401780169737114,0.9452352768612207,0.002874685081538044,11
2.449353837966919,0.7475791900561611,0.12871627807617186,0.081634202298845,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9213576158940397,0.9230132450331126,0.9240480132450332,0.9182363899813704,0.9203063547919685,0.9213923237891049,0.0020406138128086313,41
1.1109375476837158,0.23098474007777764,0.022739744186401366,0.002682322235260946,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9228062913907285,0.9221854304635762,0.9228062913907285,0.9213413371972676,0.9194783688677293,0.921723543862006,0.0012445815637486459,38
3.352629804611206,0.27912814952735054,0.032222652435302736,0.006902343698780947,0.8,0.1,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9321192052980133,0.9343956953642384,0.9356374172185431,0.9298281929207204,0.9285862140343614,0.9321133449671754,0.0026567203617973057,29
2.516212224960327,0.3936137109675739,0.06766605377197266,0.03562108102393821,0.8,0.1,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9323261589403974,0.9283940397350994,0.9294288079470199,0.9339681225419167,0.9265162492237632,0.9301266756776393,0.002687700373623873,30
1.8235693454742432,0.3380615888201385,0.02954277992248535,0.008451596274120593,0.8,0.1,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9391556291390728,0.9387417218543046,0.9383278145695364,0.9399710204926516,0.935003104947216,0.9382398582005562,0.001707145826589579,22
2.1945825099945067,0.5523540922170664,0.02736811637878418,0.003340896347437369,0.8,0.1,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9362582781456954,0.9393625827814569,0.9377069536423841,0.9379010556820534,0.9323121506934382,0.9367082041890056,0.002408063148984805,26
4.8610107421875,0.9305411389298591,0.11834020614624023,0.07515408071074739,0.8,0.1,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9457781456953642,0.9466059602649006,0.9470198675496688,0.9426619747464293,0.94183398882219,0.9447799874157108,0.0021219069344333655,12
4.089528512954712,0.5556851387720346,0.03707199096679688,0.0023325123754421996,0.8,0.1,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9447433774834437,0.9443294701986755,0.9459850993377483,0.9426619747464293,0.936038087352515,0.9427516018237625,0.003521126371735106,16
